Start,End
2010-08-10 09:45,2010-08-10 16:20
2010-08-13 09:45,2010-08-14 12:35
2010-08-21 12:45,2010-08-21 16:20
2010-08-29 13:30,2010-08-29 17:45
2010-08-30 11:45,2010-09-02 06:45
2010-09-08 10:45,2010-09-08 22:45
2010-09-18 06:45,2010-09-19 19:30
2011-05-12 09:30,2011-05-12 16:20
2011-06-06 07:45,2011-06-06 16:20
2011-06-09 11:45,2011-06-10 18:00
2011-06-19 11:30,2011-06-19 18:00
2011-06-20 08:00,2011-06-21 14:15
2011-07-04 07:45,2011-07-09 16:15
2011-07-23 06:45,2011-07-28 16:05
2011-08-01 13:45,2011-08-06 16:20
2011-08-07 11:30,2011-08-08 12:50
2011-08-12 11:30,2011-08-16 19:00
2011-08-19 06:45,2011-08-19 18:30
2011-08-27 10:45,2011-08-31 17:45
2012-06-08 12:35,2012-06-09 16:20
2012-06-20 08:45,2012-06-20 23:00
2012-06-28 10:00,2012-06-29 17:45
2012-07-03 13:45,2012-07-04 19:45
2012-07-07 14:55,2012-07-12 19:45
2012-07-15 09:15,2012-07-15 19:45
2012-07-16 07:45,2012-07-16 17:45
2012-07-19 07:45,2012-07-21 19:45
2012-07-29 15:05,2012-07-31 17:10
2012-08-01 06:45,2012-08-03 21:45
2012-08-07 07:45,2012-08-09 19:45
2012-08-15 06:45,2012-08-15 19:50
2012-08-20 16:15,2012-08-21 16:20
2012-08-23 07:55,2012-08-24 19:00
2012-08-25 12:35,2012-08-25 20:45
2012-08-26 06:55,2012-08-29 04:25
2012-08-30 13:20,2012-08-30 19:00
2012-09-10 07:45,2012-09-10 18:15
2012-09-11 10:45,2012-09-13 15:00
2013-05-31 06:45,2013-06-03 20:15
2013-06-08 06:50,2013-06-08 16:20
2013-06-19 09:45,2013-06-21 20:00
2013-06-28 06:45,2013-06-30 19:00
2013-07-03 07:45,2013-07-05 19:30
2013-07-09 13:30,2013-07-09 19:45
2013-07-11 07:45,2013-07-13 19:30
2013-07-30 07:45,2013-07-31 19:30
2013-08-05 06:45,2013-08-06 19:30
2013-08-08 09:50,2013-08-12 20:50
2013-08-26 13:45,2013-08-29 19:30
2013-09-20 08:00,2013-09-22 06:00
2014-05-26 06:45,2014-05-26 19:00
2014-05-27 14:10,2014-05-27 18:30
2014-05-28 07:45,2014-05-28 18:30
2014-05-30 06:45,2014-06-02 19:00
2014-06-04 10:15,2014-06-04 18:45
2014-06-05 10:20,2014-06-05 13:45
2014-06-14 12:20,2014-06-14 17:45
2014-06-18 13:00,2014-06-18 18:00
2014-06-26 13:30,2014-06-28 18:25
2014-07-02 11:35,2014-07-02 18:30
2014-07-03 06:45,2014-07-07 11:30
2014-07-08 10:25,2014-07-10 18:30
2014-07-12 13:50,2014-07-16 19:30
2014-07-22 06:45,2014-07-23 23:00
2014-07-25 13:50,2014-07-25 18:00
2014-07-28 11:45,2014-08-01 20:15
2014-08-02 13:45,2014-08-02 20:00
2014-08-04 14:05,2014-08-04 19:45
2014-08-09 12:35,2014-08-09 16:20
2014-08-10 13:35,2014-08-10 17:30
2014-08-16 06:45,2014-08-16 17:30
2014-08-24 06:45,2014-08-25 18:30
2014-08-26 06:45,2014-08-26 18:30
2014-08-29 11:20,2014-08-30 18:45
2014-09-01 11:25,2014-09-02 18:50
2014-09-03 06:45,2014-09-03 19:00
2014-09-06 06:45,2014-09-06 19:00
2014-09-10 11:45,2014-09-11 18:45
2014-09-14 12:30,2014-09-15 14:55
2014-09-19 06:45,2014-09-19 18:45
2014-09-30 12:45,2014-09-30 18:30
2015-05-28 11:15,2015-05-29 19:45
2015-05-30 13:45,2015-05-30 17:15
2015-06-03 09:45,2015-06-04 18:00
2015-06-07 09:45,2015-06-07 18:00
2015-06-14 11:45,2015-06-14 17:00
2015-06-15 12:45,2015-06-20 18:00
2015-06-27 07:45,2015-07-05 19:00
2015-07-07 12:15,2015-07-07 18:00
2015-07-11 12:30,2015-07-16 19:00
2015-07-19 12:45,2015-07-19 16:20
2015-08-01 07:45,2015-08-02 18:45
2015-08-03 07:45,2015-08-03 19:15
2015-08-04 06:45,2015-08-04 18:45
2015-08-05 06:45,2015-08-05 18:15
2015-08-06 06:45,2015-08-09 18:45
2015-08-12 13:45,2015-08-12 18:00
2015-08-17 12:30,2015-08-19 18:30
2015-08-21 12:05,2015-08-21 19:45
2015-08-22 06:45,2015-08-25 18:45
2015-09-05 06:45,2015-09-05 18:00
2015-09-30 13:20,2015-09-30 16:25
2016-05-31 11:45,2016-06-04 14:50
2016-06-19 07:10,2016-06-27 20:45
2016-06-30 08:50,2016-06-30 17:45
2016-07-01 12:50,2016-07-01 17:45
2016-07-04 13:35,2016-07-04 17:15
2016-07-07 06:45,2016-07-10 16:15
2016-07-15 07:30,2016-07-18 17:40
2016-07-20 11:15,2016-07-25 21:00
2016-07-27 11:45,2016-08-01 18:00
2016-08-05 12:15,2016-08-08 19:45
2016-08-22 07:45,2016-08-26 18:15
2016-08-27 11:00,2016-08-27 17:15
2016-09-12 13:30,2016-09-12 18:10
2016-09-13 06:45,2016-09-13 16:20
2016-09-14 06:45,2016-09-14 17:00
2016-09-27 07:15,2016-09-27 23:45
2017-06-03 12:55,2017-06-03 18:00
2017-06-05 12:10,2017-06-12 05:05
2017-06-23 09:45,2017-06-23 16:20
2017-06-27 07:30,2017-06-27 17:15
2017-06-30 11:45,2017-06-30 18:30
2017-07-11 11:00,2017-07-11 18:00
2017-07-13 06:45,2017-07-14 17:00
2017-07-22 13:30,2017-07-22 18:30
2017-07-25 12:45,2017-07-27 07:15
2017-07-28 11:45,2017-07-30 23:15
2017-07-31 12:15,2017-07-31 18:00
2017-08-01 12:00,2017-08-01 18:30
2017-08-05 12:15,2017-08-09 11:00
2017-08-11 11:45,2017-08-15 19:45
2017-08-17 15:00,2017-08-22 18:00
2017-08-24 11:45,2017-08-24 19:30
2017-08-26 06:45,2017-08-26 18:00
2017-08-30 06:45,2017-08-31 01:30
2017-09-12 11:15,2017-09-12 16:45
2017-09-13 13:10,2017-09-14 16:20
2017-09-15 12:45,2017-09-17 19:30
2017-09-18 13:20,2017-09-18 18:00
2017-09-26 06:45,2017-09-29 19:00
2017-10-03 12:20,2017-10-03 19:00
2017-10-12 13:35,2017-10-12 18:00
2018-05-03 11:55,2018-05-03 14:15
2018-05-15 11:45,2018-05-15 16:20
2018-05-16 06:45,2018-05-16 16:15
2018-05-17 14:10,2018-05-17 16:20
2018-05-18 06:45,2018-06-01 18:45
2018-06-10 06:45,2018-06-11 18:45
2018-06-20 12:00,2018-06-21 16:20
2018-06-26 14:40,2018-06-27 14:10
2018-06-28 06:45,2018-07-01 16:20
2018-07-06 11:10,2018-07-06 18:00
2018-07-11 06:45,2018-07-11 18:45
2018-07-12 11:30,2018-07-12 18:00
2018-07-17 12:10,2018-07-17 18:15
2018-07-21 06:45,2018-07-21 17:30
2018-07-22 06:45,2018-07-22 16:20
2018-07-26 12:15,2018-07-26 18:00
2018-07-27 06:45,2018-08-02 17:00
2018-08-03 08:30,2018-08-09 19:20
2018-08-25 11:45,2018-08-25 19:00
2018-09-05 12:15,2018-09-05 17:00
2018-09-06 09:40,2018-09-06 18:00
2018-09-14 06:45,2018-09-15 23:15
2018-09-21 11:45,2018-09-21 18:00
2018-09-22 13:25,2018-09-22 16:45
2019-05-19 06:45,2019-05-19 18:00
2019-06-05 13:05,2019-06-05 16:20
2019-06-06 06:45,2019-06-08 18:00
2019-06-20 07:45,2019-06-23 16:20
2019-06-27 10:55,2019-06-27 18:00
2019-06-28 09:45,2019-06-29 18:30
2019-07-01 13:50,2019-07-01 20:15
2019-07-07 12:20,2019-07-07 16:10
2019-07-13 06:45,2019-07-18 19:45
2019-07-19 10:45,2019-07-19 13:45
2019-07-20 09:50,2019-07-20 12:05
2019-07-25 07:00,2019-07-27 19:00
2019-08-05 12:30,2019-08-06 13:25
2019-08-07 12:40,2019-08-10 16:20
2019-08-11 09:45,2019-08-11 18:00
2019-08-12 09:45,2019-08-12 18:00
2019-08-13 08:45,2019-08-14 04:40
2019-08-14 11:15,2019-08-14 18:00
2019-08-15 11:15,2019-08-15 18:00
2019-08-16 08:45,2019-08-16 16:20
2019-08-21 12:20,2019-08-21 18:00
2019-08-22 09:45,2019-08-25 00:40
2019-08-28 06:45,2019-08-28 19:00
2019-09-07 10:45,2019-09-07 18:00
2019-09-08 06:45,2019-09-08 17:30
2019-09-09 11:45,2019-09-10 18:00
2019-09-11 11:45,2019-09-13 18:00
2019-09-20 07:45,2019-09-20 18:00
2019-09-30 11:00,2019-09-30 19:00
2019-10-01 06:45,2019-10-01 18:30
2020-05-10 13:15,2020-05-10 17:00
2020-05-11 13:30,2020-05-11 16:30
2020-05-16 13:00,2020-05-17 16:30
2020-06-04 09:40,2020-06-04 16:20
2020-06-11 12:15,2020-06-13 18:00
2020-06-16 07:45,2020-06-16 14:00
2020-06-18 11:30,2020-06-18 17:30
2020-06-19 07:45,2020-06-19 18:00
2020-06-22 06:45,2020-06-22 18:45
2020-06-23 11:00,2020-06-23 18:15
2020-06-24 13:50,2020-06-24 18:00
2020-06-28 11:15,2020-06-28 18:15
2020-06-29 11:45,2020-07-01 16:30
2020-07-03 13:35,2020-07-03 16:20
2020-07-04 11:10,2020-07-08 17:30
2020-07-11 06:45,2020-07-30 17:45
2020-08-06 12:40,2020-08-11 16:20
2020-08-14 09:15,2020-08-15 17:30
2020-08-16 11:15,2020-08-16 18:00
2020-08-21 06:45,2020-08-24 18:00
2020-08-25 09:00,2020-08-25 18:30
2020-08-26 10:50,2020-08-26 16:15
2020-08-28 06:45,2020-09-04 16:20
2021-05-12 06:45,2021-05-12 16:20
2021-05-14 12:30,2021-05-17 18:00
2021-05-18 11:00,2021-05-20 18:15
2021-05-21 07:45,2021-05-24 16:20
2021-05-26 08:30,2021-05-29 17:30
2021-06-03 07:45,2021-06-03 18:45
2021-06-08 12:15,2021-06-08 18:00
2021-06-16 12:00,2021-06-21 15:10
2021-06-30 13:15,2021-06-30 16:20
2021-07-02 11:15,2021-07-05 19:00
2021-07-07 14:25,2021-07-16 09:45
2021-07-22 13:30,2021-07-23 23:30
2021-07-24 10:00,2021-07-24 19:00
2021-07-25 07:45,2021-07-27 20:10
2021-07-28 06:45,2021-07-28 16:15
2021-07-31 11:45,2021-07-31 16:20
2021-08-01 10:45,2021-08-01 14:45
2021-08-08 13:20,2021-08-08 16:20
2021-08-12 12:30,2021-08-12 16:15
2021-08-17 10:15,2021-08-18 15:45
2021-08-20 11:00,2021-08-23 18:30
2021-08-25 12:20,2021-08-25 16:20
2021-08-26 06:45,2021-08-26 17:30
2021-09-02 11:45,2021-09-06 16:20
2021-09-07 11:45,2021-09-14 10:15
2021-09-15 11:15,2021-09-15 18:00
2021-09-17 07:45,2021-09-18 17:30
2021-09-20 11:15,2021-09-20 16:20
2021-09-21 07:45,2021-09-21 14:15
2021-09-22 11:20,2021-09-22 17:30
2021-09-27 11:00,2021-09-30 17:45
2021-10-01 09:45,2021-10-01 16:20
2022-04-29 06:45,2022-04-29 18:00
2022-05-30 11:15,2022-05-30 17:45
2022-06-22 06:45,2022-06-29 16:20
2022-07-08 11:45,2022-07-08 17:45
2022-07-09 09:45,2022-07-14 18:30
2022-07-15 13:45,2022-07-30 09:45
2022-07-31 09:30,2022-08-02 20:25
2022-08-13 13:45,2022-08-15 18:45
2022-08-16 14:45,2022-08-16 18:30
2022-08-21 11:45,2022-08-24 17:15
2022-08-26 09:45,2022-08-30 16:50
2022-09-01 11:10,2022-09-01 15:45
2022-09-02 06:45,2022-09-02 16:20
2022-09-03 06:45,2022-09-03 19:30
2022-09-04 06:45,2022-09-06 17:45
2022-09-08 11:30,2022-09-09 16:20
2022-09-11 06:45,2022-09-11 17:30
2022-09-12 06:45,2022-09-19 17:00
2022-09-26 12:35,2022-09-26 17:30
2022-10-03 10:15,2022-10-03 17:00
2022-10-04 06:45,2022-10-04 16:20
2023-05-22 11:45,2023-05-22 17:30
2023-05-29 06:45,2023-06-01 05:30
2023-06-02 06:45,2023-06-04 17:45
2023-06-08 12:30,2023-06-09 09:50
2023-06-10 15:10,2023-06-10 18:40
2023-06-12 11:15,2023-06-13 16:20
2023-06-21 09:45,2023-06-21 17:45
2023-06-22 10:15,2023-06-22 18:15
2023-06-25 13:30,2023-06-25 16:20
2023-06-27 11:45,2023-06-28 07:20
2023-06-29 13:00,2023-06-30 09:00
2023-07-05 11:45,2023-07-16 17:00
2023-07-20 15:25,2023-07-27 20:30
2023-07-28 06:45,2023-07-28 22:50
2023-08-02 06:45,2023-08-03 19:00
2023-08-04 10:15,2023-08-04 18:30
2023-08-05 10:45,2023-08-05 19:00
2023-08-06 11:20,2023-08-06 17:50
2023-08-07 14:30,2023-08-07 18:00
2023-08-08 07:30,2023-08-09 18:30
2023-08-16 06:45,2023-08-16 18:30
2023-08-17 07:45,2023-08-17 13:00
2023-08-22 15:00,2023-08-22 17:30
2023-08-23 11:00,2023-08-23 17:45
2023-08-25 10:00,2023-08-25 14:15
2023-08-26 11:55,2023-08-26 16:15
2023-08-28 14:40,2023-08-28 17:30
2023-08-29 11:30,2023-08-29 14:15
2023-08-30 06:45,2023-08-30 16:20
2023-09-03 13:15,2023-09-03 18:00
2023-09-04 06:45,2023-09-04 18:00
2023-09-18 15:16,2023-09-18 18:00
2023-09-19 12:50,2023-09-19 18:00
2023-09-20 06:45,2023-09-20 18:00
2023-09-21 06:45,2023-09-21 18:30
2023-09-22 11:15,2023-09-22 18:00
2023-09-23 06:45,2023-09-23 17:45
2023-09-24 14:00,2023-09-24 17:15
2023-09-25 09:30,2023-09-27 17:45
2023-09-28 09:45,2023-09-28 17:30
2023-09-29 10:00,2023-10-05 18:00
2023-10-06 06:45,2023-10-06 16:00
2024-06-13 13:40,2024-06-13 17:15
2024-06-20 09:50,2024-06-29 03:35
2024-07-01 08:30,2024-07-14 18:45
2024-07-15 14:15,2024-07-15 17:30
2024-07-17 14:00,2024-07-17 16:40
2024-07-20 13:00,2024-07-20 18:00
2024-07-22 13:15,2024-07-25 20:00
2024-08-01 13:20,2024-08-06 13:50
2024-08-07 06:45,2024-08-11 18:00
2024-08-13 13:55,2024-08-13 16:20
2024-08-24 10:45,2024-08-28 17:30
2024-08-29 11:15,2024-08-30 18:15
2024-09-01 06:45,2024-09-03 22:25
2024-09-04 06:45,2024-09-04 18:40
2024-09-05 13:05,2024-09-05 17:30
2024-09-10 11:45,2024-09-10 18:00
2024-09-11 06:45,2024-09-12 18:30
2024-09-13 07:45,2024-09-13 17:45
2024-09-14 07:45,2024-09-14 13:40
2024-09-15 09:45,2024-09-15 18:00
2024-09-17 11:15,2024-09-17 18:55
2024-09-18 06:45,2024-09-18 18:00
2024-09-19 06:45,2024-09-19 17:30
2024-09-30 06:45,2024-10-01 17:10
2024-10-06 13:15,2024-10-06 17:15
2024-10-07 07:45,2024-10-07 18:00
2024-10-19 10:15,2024-10-19 18:00
2024-10-22 06:45,2024-10-22 17:30
