Date,Mean Pressure,Absolute Daily Max Air Temp.,Mean Air Temp.,Absolute Daily Min Air Temp.,Mean Dew Point,Mean Relative Humidity,Mean Amount of Cloud,Total Rainfall,Very Hot Weather Warning,Cold Weather Warning
2004-12-17,1018.8,21.8,20.1,18.4,15.9,77,28,  0.0,False,False
2004-12-18,1016.3,22.5,20.1,18.6,16.9,82,41,  0.0,False,False
2004-12-19,1014.6,22.6,20.3,19.2,17.2,82,33,  0.0,False,False
2004-12-20,1016.4,22.1,20.3,18.7,16.7,81,27,0.02,False,False
2004-12-21,1016.7,21.0,19.9,19.2,15.5,76,72,  0.0,False,False
2004-12-22,1015.3,21.5,20.2,19.4,17.2,83,81,0.02,False,False
2004-12-23,1015.5,24.1,21.4,19.8,17.9,81,61,  0.0,False,False
2004-12-24,1019.0,20.6,19.6,18.3,15.6,78,71,0.02,False,False
2004-12-25,1019.0,20.2,19.1,18.1,15.4,79,81,  0.0,False,False
2004-12-26,1017.6,20.9,19.3,18.4,15.4,78,51,0.02,False,False
2004-12-27,1018.9,21.4,18.8,16.9,13.8,73,46,  0.0,False,False
2004-12-28,1020.7,17.1,13.5, 9.9, 8.0,70,60,  0.0,False,False
2004-12-29,1021.1,14.9,12.4, 8.9, 7.2,71,39,  0.0,False,True
2004-12-30,1022.0,16.8,14.2, 9.3, 8.3,68,87,  0.0,False,True
2004-12-31,1027.0,11.6, 9.4, 8.2,-1.8,46,47,  0.0,False,True
2005-01-01,1026.8,12.1, 9.4, 6.4,-2.8,43,19,  0.0,False,True
2005-01-02,1022.5,14.1,12.1,10.7, 2.7,53,61,  0.0,False,True
2005-01-03,1018.7,18.1,15.3,12.1, 8.7,65,68,  0.0,False,False
2005-01-04,1020.4,18.2,16.7,15.3, 9.3,62,85,  0.0,False,False
2005-01-05,1021.4,18.0,16.9,16.2,12.8,77,87,  0.0,False,False
2005-01-06,1020.5,20.4,17.5,15.2,11.6,69,27,  0.0,False,False
2005-01-07,1021.2,19.3,17.4,16.2,13.9,80,36,  0.0,False,False
2005-01-08,1021.5,19.4,17.7,16.8,13.5,77,88,  0.0,False,False
2005-01-09,1022.0,17.6,16.2,14.3,10.7,70,56,  0.0,False,False
2005-01-10,1022.0,16.7,15.2,12.9,10.3,73,47,  0.0,False,False
2005-01-11,1021.7,18.8,16.6,15.0,12.3,76,27,  0.0,False,False
2005-01-12,1021.1,18.1,16.0,14.3,11.3,74,51,  0.0,False,False
2005-01-13,1019.7,16.2,12.0, 9.9, 8.9,82,92,  3.5,False,True
2005-01-14,1021.0,14.3,11.3, 7.4, 2.6,56,42,  0.0,False,True
2005-01-15,1021.3,15.3,12.5, 9.7, 2.6,52,21,  0.0,False,True
2005-01-16,1022.2,15.9,13.5,11.2, 4.9,56,22,  0.0,False,True
2005-01-17,1021.6,16.1,14.4,13.0, 9.2,72,34,  0.0,False,True
2005-01-18,1020.3,17.7,15.8,14.1,12.0,78,68,  0.0,False,False
2005-01-19,1021.1,18.4,16.8,15.6,13.5,81,78,  0.0,False,False
2005-01-20,1025.0,16.5,15.8,15.2,12.6,82,87,  0.0,False,False
2005-01-21,1025.3,17.2,15.9,14.4,12.3,79,81,0.02,False,False
2005-01-22,1021.6,19.9,17.3,15.6,14.5,84,60,0.02,False,False
2005-01-23,1019.2,21.1,18.2,16.1,15.3,84,30,  0.0,False,False
2005-01-24,1017.0,19.7,17.8,16.5,14.7,82,76,  0.0,False,False
2005-01-25,1012.4,21.6,19.8,18.2,17.7,88,81,  0.0,False,False
2005-01-26,1012.1,20.8,18.5,16.9,17.0,91,78,0.02,False,False
2005-01-27,1011.8,19.6,18.2,16.7,16.1,87,86,0.02,False,False
2005-01-28,1010.6,19.6,18.9,18.3,17.9,93,92,  0.4,False,False
2005-01-29,1011.9,19.3,18.3,17.4,17.2,93,94,0.02,False,False
2005-01-30,1015.3,18.8,17.3,14.8,16.3,94,100,  1.0,False,False
2005-01-31,1018.3,14.9,13.8,12.9,11.4,85,96,  1.0,False,True
2005-02-01,1018.3,14.2,13.0,12.0, 8.7,75,95,0.02,False,True
2005-02-02,1018.9,13.9,13.1,12.0,10.2,82,97,0.02,False,True
2005-02-03,1018.4,14.6,13.6,12.9,12.1,91,100,  0.6,False,True
2005-02-04,1016.5,18.9,16.6,14.3,15.4,93,97,0.02,False,False
2005-02-05,1016.2,19.2,18.5,17.9,17.5,94,97,0.02,False,False
2005-02-06,1017.8,19.4,18.5,17.8,17.3,93,92,  0.1,False,False
2005-02-07,1018.8,24.5,20.7,18.1,18.2,87,54,  0.1,False,False
2005-02-08,1019.6,21.2,19.3,17.9,18.2,94,88,  0.3,False,False
2005-02-09,1019.6,21.2,19.3,17.6,16.8,85,89,0.02,False,False
2005-02-10,1021.5,24.1,19.2,16.6,16.6,85,82,0.02,False,False
2005-02-11,1024.0,17.5,16.1,14.8,12.1,77,86,  0.0,False,False
2005-02-12,1022.3,20.3,17.4,15.7,13.9,80,60,  0.0,False,False
2005-02-13,1020.9,17.9,16.6,15.2,13.5,82,83,0.02,False,False
2005-02-14,1017.3,18.4,17.0,15.4,14.5,85,92,0.02,False,False
2005-02-15,1014.1,20.8,19.1,17.3,18.0,94,96,  0.2,False,False
2005-02-16,1011.7,24.7,22.8,20.5,20.9,89,89,0.02,False,False
2005-02-17,1011.2,24.4,22.6,19.5,20.8,90,90,  1.1,False,False
2005-02-18,1015.9,19.5,15.2,12.8,12.7,85,96,  0.9,False,False
2005-02-19,1021.6,14.6,12.6,10.6, 5.3,61,88,  0.0,False,True
2005-02-20,1024.6,10.8, 9.9, 9.0, 4.6,70,93,0.02,False,True
2005-02-21,1022.9,11.0,10.3, 9.4, 6.8,79,98,0.02,False,True
2005-02-22,1019.4,13.8,12.3,10.6,10.2,87,100,0.02,False,True
2005-02-23,1013.1,18.0,16.0,13.6,14.4,91,95,0.02,False,True
2005-02-24,1009.5,23.1,20.0,17.4,18.8,93,96,  2.7,False,False
2005-02-25,1012.3,20.8,18.2,16.0,17.3,95,96,  0.8,False,False
2005-02-26,1017.3,16.5,15.3,14.0,13.4,88,100,0.02,False,False
2005-02-27,1018.3,14.5,14.1,13.1,12.2,89,97,  3.7,False,True
2005-02-28,1019.6,15.4,13.8,11.7,11.4,86,90,  8.7,False,True
2005-03-01,1021.0,14.4,13.7,12.5,11.3,85,94,  6.7,False,True
2005-03-02,1020.9,15.0,13.9,12.3,12.3,91,98, 12.7,False,False
2005-03-03,1024.2,14.4,12.6,10.6, 8.6,77,76,  3.7,False,True
2005-03-04,1028.7,14.2,12.5,10.6, 5.5,63,74,  1.1,False,True
2005-03-05,1030.7,17.2,13.9,11.0, 3.9,52,14,  0.0,False,True
2005-03-06,1028.0,16.6,14.1,12.0, 5.8,58, 0,  0.0,False,True
2005-03-07,1025.1,19.8,16.2,13.3,10.6,70,34,  0.0,False,True
2005-03-08,1021.4,21.4,18.1,15.7,14.1,78,26,  0.0,False,False
2005-03-09,1017.4,22.0,19.6,17.1,16.8,84,67,  0.0,False,False
2005-03-10,1013.0,22.9,20.7,18.7,18.4,87,86,  0.0,False,False
2005-03-11,1012.2,21.8,21.1,20.5,20.3,95,94,  0.5,False,False
2005-03-12,1016.6,22.0,15.8, 9.8,14.7,93,93,  5.5,False,False
2005-03-13,1024.0,11.5,10.5, 9.5, 5.9,74,92,0.02,False,True
2005-03-14,1020.6,13.5,12.6,11.2, 7.6,72,89,0.02,False,True
2005-03-15,1017.8,16.6,14.8,12.6,12.9,88,98,  0.1,False,True
2005-03-16,1018.0,20.4,18.6,16.5,17.0,90,94,0.02,False,False
2005-03-17,1016.7,25.7,22.0,19.1,19.2,85,73,0.02,False,False
2005-03-18,1019.9,22.0,19.1,16.6,15.4,79,80,  0.0,False,False
2005-03-19,1020.8,19.1,17.0,15.1,11.5,71,47,  0.0,False,False
2005-03-20,1018.5,21.8,18.8,15.6,13.1,70,68,  0.0,False,False
2005-03-21,1015.1,19.9,18.9,17.6,15.8,83,88,  0.9,False,False
2005-03-22,1011.7,22.0,20.6,19.0,19.2,92,88,  4.7,False,False
2005-03-23,1015.1,24.8,20.9,17.6,16.4,77,87,  8.0,False,False
2005-03-24,1021.0,21.1,18.3,16.4,11.9,66,76,0.02,False,False
2005-03-25,1020.6,18.3,17.2,16.4,11.7,70,81,  0.0,False,False
2005-03-26,1016.5,18.6,17.4,15.9,14.5,83,92,  0.9,False,False
2005-03-27,1013.7,22.3,19.5,17.4,17.8,90,92,  3.4,False,False
2005-03-28,1013.3,26.1,22.8,20.3,21.3,91,81,0.02,False,False
2005-03-29,1012.4,25.7,22.5,19.8,20.5,89,88,0.02,False,False
2005-03-30,1012.4,20.0,17.3,16.0,16.2,93,97,  3.6,False,False
2005-03-31,1012.4,18.1,17.4,16.0,15.7,90,93,  0.8,False,False
2005-04-01,1013.6,18.4,18.0,17.1,16.4,91,99,0.02,False,False
2005-04-02,1014.7,23.1,20.7,18.0,17.2,81,77,  0.2,False,False
2005-04-03,1018.1,25.1,21.7,19.1,16.2,72,74,  0.0,False,False
2005-04-04,1020.7,22.6,20.5,19.1,14.7,70,63,  0.0,False,False
2005-04-05,1018.2,21.6,20.0,18.9,15.6,76,86,  0.0,False,False
2005-04-06,1013.7,24.8,22.0,19.6,18.9,83,77,  0.0,False,False
2005-04-07,1012.5,26.9,23.2,20.9,20.6,86,63,  0.0,False,False
2005-04-08,1012.0,28.4,25.0,22.9,22.5,87,86,  0.4,False,False
2005-04-09,1011.8,28.2,25.9,24.2,22.8,84,88,  0.0,False,False
2005-04-10,1012.3,27.4,25.9,24.5,23.4,86,87,  0.0,False,False
2005-04-11,1012.5,28.4,25.9,24.3,22.9,83,86,0.02,False,False
2005-04-12,1014.3,24.6,21.3,17.3,19.6,90,89,  4.1,False,False
2005-04-13,1019.0,17.3,16.1,14.6,14.6,91,92, 15.7,False,False
2005-04-14,1018.8,22.9,19.8,17.0,15.0,75,74,  0.3,False,False
2005-04-15,1018.5,22.8,21.0,19.5,17.1,79,84,  0.3,False,False
2005-04-16,1016.8,22.1,21.0,19.8,18.4,85,94,  1.4,False,False
2005-04-17,1017.1,23.1,21.4,20.0,17.8,80,85,0.02,False,False
2005-04-18,1017.2,26.3,23.3,21.0,19.6,80,24,  0.0,False,False
2005-04-19,1017.2,27.5,24.1,21.9,20.2,79,28,  0.0,False,False
2005-04-20,1015.6,29.2,25.4,22.6,21.0,77,66,  0.0,False,False
2005-04-21,1013.1,26.3,24.3,22.9,21.4,84,83,  0.0,False,False
2005-04-22,1012.3,28.8,25.3,22.9,21.6,81,61,  0.0,False,False
2005-04-23,1012.3,28.7,25.7,24.0,22.5,83,74,  0.0,False,False
2005-04-24,1012.3,27.2,25.1,23.8,22.7,87,81,  0.0,False,False
2005-04-25,1011.0,25.5,24.4,23.7,22.8,91,88,  3.5,False,False
2005-04-26,1011.2,25.1,23.5,22.7,21.5,89,91,0.02,False,False
2005-04-27,1011.3,22.9,22.2,21.2,20.7,92,99,  3.1,False,False
2005-04-28,1009.6,28.2,25.0,22.2,22.3,85,85,  0.2,False,False
2005-04-29,1008.4,28.8,27.2,25.9,24.0,83,87,  2.4,False,False
2005-04-30,1007.7,29.2,27.7,26.3,24.3,82,88,  0.7,False,False
2005-05-01,1007.4,28.5,27.8,27.0,24.4,82,88,0.02,False,False
2005-05-02,1008.7,29.6,28.0,27.1,24.3,80,87,0.02,False,False
2005-05-03,1009.0,30.6,28.1,26.7,24.1,79,77,  0.0,False,False
2005-05-04,1007.9,29.7,27.8,26.4,24.1,80,82,0.02,False,False
2005-05-05,1004.2,29.9,28.2,27.0,23.7,77,87,  0.0,False,False
2005-05-06,1005.3,28.2,25.6,22.0,20.7,75,69, 22.6,False,False
2005-05-07,1008.3,27.4,25.4,24.4,21.0,77,78,0.02,False,False
2005-05-08,1008.4,26.2,24.9,24.2,23.8,93,91, 37.1,False,False
2005-05-09,1005.8,27.4,24.6,22.2,23.1,91,92, 67.5,False,False
2005-05-10,1005.7,26.0,24.2,23.2,23.2,94,89, 87.9,False,False
2005-05-11,1007.6,24.7,24.0,23.2,22.9,94,93,  0.2,False,False
2005-05-12,1007.0,29.8,27.1,24.5,24.9,88,88,0.02,False,False
2005-05-13,1005.7,30.1,28.8,27.9,25.2,81,87,  0.0,False,False
2005-05-14,1006.3,30.5,29.1,28.2,25.1,79,85,0.02,False,False
2005-05-15,1008.7,30.5,29.1,28.3,25.4,81,84,  5.5,False,False
2005-05-16,1009.4,30.7,28.5,26.1,25.6,84,84,  9.6,False,False
2005-05-17,1009.1,30.6,29.2,27.3,25.2,79,83,  6.5,False,False
2005-05-18,1009.0,32.2,29.1,24.1,25.3,81,85, 47.2,False,False
2005-05-19,1010.1,27.9,26.3,24.5,25.0,92,87, 16.4,False,False
2005-05-20,1010.8,27.5,26.2,25.5,24.8,93,88, 38.1,False,False
2005-05-21,1009.7,28.7,27.1,25.7,24.8,88,72,  0.4,False,False
2005-05-22,1008.9,32.6,29.1,26.9,24.2,75,44,0.02,False,False
2005-05-23,1008.3,30.1,28.0,24.8,24.8,83,75,  8.5,False,False
2005-05-24,1007.6,28.7,26.6,24.3,24.3,88,84, 44.7,False,False
2005-05-25,1009.1,27.4,26.8,26.4,24.5,87,72,0.02,False,False
2005-05-26,1009.3,26.5,25.6,23.5,24.5,94,90, 30.5,False,False
2005-05-27,1006.5,28.7,25.8,23.6,24.5,92,90, 85.6,False,False
2005-05-28,1006.5,28.5,26.3,24.5,24.4,89,91,  0.3,False,False
2005-05-29,1009.3,26.7,25.7,25.0,22.4,82,86,0.02,False,False
2005-05-30,1008.5,28.8,26.3,24.8,21.9,77,58,0.02,False,False
2005-05-31,1006.0,29.3,26.7,24.8,23.6,83,82,0.02,False,False
2005-06-01,1004.0,31.0,28.1,26.0,24.7,82,86,0.02,False,False
2005-06-02,1003.2,30.8,29.3,28.0,25.8,82,86,  3.2,False,False
2005-06-03,1003.8,33.4,29.8,26.0,26.1,81,83,  1.7,False,False
2005-06-04,1005.2,29.4,27.1,25.8,25.7,92,86, 32.5,False,False
2005-06-05,1006.2,26.6,25.2,23.2,20.9,78,88,  7.0,False,False
2005-06-06,1006.3,26.1,25.6,25.0,22.3,82,88,0.02,False,False
2005-06-07,1006.2,25.8,25.0,23.6,22.1,84,89,  1.4,False,False
2005-06-08,1005.9,28.2,26.3,25.1,22.9,82,84,0.02,False,False
2005-06-09,1004.6,27.9,25.7,25.0,23.4,87,80,  5.3,False,False
2005-06-10,1002.0,31.4,28.0,25.3,24.6,83,58,  0.9,False,False
2005-06-11,1000.9,32.7,29.7,27.8,25.5,79,69,  0.0,False,False
2005-06-12,1000.9,30.9,29.3,26.9,25.4,80,86,  4.8,False,False
2005-06-13,1001.8,28.7,27.9,26.4,25.4,86,88,  8.1,False,False
2005-06-14,1000.9,31.2,28.6,26.0,25.9,86,88, 19.2,False,False
2005-06-15,1001.4,29.3,27.2,25.1,25.7,92,90,168.5,False,False
2005-06-16,1004.6,27.5,26.3,25.4,25.0,93,91, 26.1,False,False
2005-06-17,1006.9,29.4,26.8,24.4,25.2,91,87, 35.1,False,False
2005-06-18,1005.7,30.9,28.9,27.6,25.5,82,91,  3.3,False,False
2005-06-19,1004.9,30.9,29.4,28.3,25.5,80,88,0.02,False,False
2005-06-20,1004.8,30.5,29.5,28.3,25.9,81,88,  1.0,False,False
2005-06-21,1004.9,29.6,28.7,25.1,25.8,84,90,106.3,False,False
2005-06-22,1005.3,29.3,27.4,24.7,25.1,87,90, 32.7,False,False
2005-06-23,1005.8,28.5,26.7,24.8,25.1,91,95,106.6,False,False
2005-06-24,1007.0,28.7,26.2,24.2,25.0,93,91,232.6,False,False
2005-06-25,1006.6,30.9,28.5,26.5,25.8,85,82,  3.9,False,False
2005-06-26,1005.1,30.7,28.7,26.0,25.8,85,83, 11.5,False,False
2005-06-27,1004.8,31.4,29.4,28.0,25.6,80,80,  3.4,False,False
2005-06-28,1005.2,31.6,29.4,28.0,26.0,82,68,0.02,False,False
2005-06-29,1006.2,30.3,27.9,25.6,25.6,88,80, 31.8,False,False
2005-06-30,1007.6,28.1,26.1,25.0,24.6,91,88, 47.0,False,False
2005-07-01,1010.3,29.8,26.8,24.7,25.0,90,84, 18.4,False,False
2005-07-02,1010.5,31.0,28.2,26.7,25.7,87,58,  0.0,False,False
2005-07-03,1009.5,32.1,29.2,27.4,25.7,82,33,  0.0,False,False
2005-07-04,1008.6,33.2,29.9,28.0,25.5,78,58,  0.0,False,False
2005-07-05,1007.7,33.3,29.9,28.0,24.8,75,33,  0.0,True,False
2005-07-06,1006.0,33.0,29.8,27.6,24.5,74,23,  0.0,True,False
2005-07-07,1004.3,29.4,28.0,26.0,25.1,85,77, 38.1,False,False
2005-07-08,1006.8,31.0,28.8,26.9,24.2,77,83,0.02,False,False
2005-07-09,1008.7,29.1,27.4,24.9,24.7,86,78, 33.5,False,False
2005-07-10,1010.4,31.8,29.2,26.4,25.2,80,67,  4.3,False,False
2005-07-11,1011.4,32.5,29.9,27.8,24.8,75,39,  0.0,False,False
2005-07-12,1011.2,32.5,30.0,28.0,24.6,73,35,  0.0,False,False
2005-07-13,1011.3,32.5,29.8,28.0,24.9,75,58,  0.2,False,False
2005-07-14,1012.1,32.6,30.0,28.3,24.9,75,61,  0.0,False,False
2005-07-15,1011.5,33.3,30.0,28.2,25.4,77,41,  0.0,False,False
2005-07-16,1009.4,33.0,30.4,28.6,25.1,74,49,0.02,False,False
2005-07-17,1005.2,33.1,30.3,28.2,24.5,71,39,  0.0,True,False
2005-07-18,1001.1,34.4,31.2,29.0,25.5,72,74,  0.0,True,False
2005-07-19, 998.1,35.4,31.8,26.9,25.1,69,76, 28.5,True,False
2005-07-20, 999.4,34.4,30.8,24.6,25.9,76,52, 20.4,True,False
2005-07-21,1001.4,32.9,29.0,24.8,25.0,79,84,  4.4,True,False
2005-07-22,1004.6,29.0,26.5,24.8,24.5,89,86, 79.7,False,False
2005-07-23,1005.9,30.2,27.6,26.1,24.2,82,73,  0.0,False,False
2005-07-24,1005.1,31.4,28.7,26.7,25.2,82,37,  0.0,False,False
2005-07-25,1004.4,32.7,29.5,27.0,24.6,76,34,  0.0,False,False
2005-07-26,1004.2,32.5,29.2,26.9,24.3,75,33,  0.0,False,False
2005-07-27,1004.3,31.8,29.2,27.6,24.9,78,36,  0.0,False,False
2005-07-28,1003.0,31.8,29.4,28.0,25.6,81,65,  0.7,False,False
2005-07-29,1001.3,28.7,27.4,25.5,25.9,92,89, 35.4,False,False
2005-07-30,1003.5,28.8,26.9,26.0,25.8,94,90, 47.3,False,False
2005-07-31,1007.1,28.3,27.1,26.0,26.1,94,87, 49.5,False,False
2005-08-01,1008.4,30.3,28.2,25.8,26.2,89,57, 15.9,False,False
2005-08-02,1006.1,31.8,29.3,27.2,24.8,78,31,  0.0,False,False
2005-08-03,1002.9,32.3,29.4,27.4,24.8,77,34,  0.0,False,False
2005-08-04,1000.9,32.6,29.7,28.1,25.7,79,57,  0.0,False,False
2005-08-05, 999.4,32.5,29.8,28.1,25.4,78,76,  0.0,False,False
2005-08-06, 997.9,33.5,30.3,28.4,25.9,78,68,0.02,False,False
2005-08-07,1000.2,32.9,30.3,29.0,26.1,78,62,0.02,False,False
2005-08-08,1003.7,32.3,29.9,28.6,26.5,82,64,0.02,False,False
2005-08-09,1004.1,30.7,28.1,26.1,25.9,88,86, 48.5,False,False
2005-08-10,1002.9,29.3,27.7,26.4,25.9,90,85, 26.4,False,False
2005-08-11,1004.0,30.6,28.5,25.9,25.9,86,72, 12.6,False,False
2005-08-12,1000.7,32.6,29.4,27.1,24.5,75,65,  9.4,False,False
2005-08-13, 999.4,29.5,26.7,23.9,24.9,90,92, 83.9,False,False
2005-08-14,1004.2,30.9,28.8,24.6,25.2,81,87,  2.5,False,False
2005-08-15,1005.3,29.1,27.6,26.1,25.4,88,85, 14.9,False,False
2005-08-16,1005.4,27.6,26.2,25.4,25.2,94,88, 49.0,False,False
2005-08-17,1005.7,26.6,25.6,24.8,24.8,96,87, 51.6,False,False
2005-08-18,1006.8,28.1,25.9,25.0,24.4,92,90, 39.7,False,False
2005-08-19,1006.3,26.9,25.5,24.5,24.1,92,97,242.9,False,False
2005-08-20,1004.4,26.5,25.0,23.9,23.7,93,99,303.3,False,False
2005-08-21,1006.0,27.8,27.2,25.9,25.5,90,91, 17.8,False,False
2005-08-22,1008.9,30.5,28.5,27.0,25.0,82,86,  0.0,False,False
2005-08-23,1008.8,31.6,28.8,27.1,25.0,80,63,0.02,False,False
2005-08-24,1006.7,30.1,27.6,25.9,24.8,85,80, 16.6,False,False
2005-08-25,1007.1,29.6,27.5,26.3,23.8,80,85,  0.0,False,False
2005-08-26,1009.2,28.4,27.1,26.4,24.9,88,88,  2.8,False,False
2005-08-27,1009.4,28.0,27.3,26.4,25.2,89,90,  0.3,False,False
2005-08-28,1008.6,29.8,28.0,26.8,25.4,86,86,  2.5,False,False
2005-08-29,1008.0,30.2,28.0,26.4,25.9,89,69,  9.1,False,False
2005-08-30,1005.3,30.9,28.3,25.4,25.3,85,41, 21.3,False,False
2005-08-31,1002.4,32.3,29.4,26.8,24.6,76,20,  0.3,False,False
2005-09-01, 999.8,32.1,30.1,28.2,22.9,66,49,  0.0,False,False
2005-09-02,1002.6,31.7,29.2,27.8,22.7,69,85,  0.0,False,False
2005-09-03,1004.4,29.9,27.9,25.5,25.6,87,84, 11.7,False,False
2005-09-04,1006.0,27.4,26.7,25.2,25.4,93,87, 54.3,False,False
2005-09-05,1007.8,30.7,28.3,26.3,23.7,77,31,  0.0,False,False
2005-09-06,1008.0,30.5,27.9,26.7,24.4,82,73, 11.5,False,False
2005-09-07,1008.8,31.4,28.5,26.4,24.3,79,60, 20.4,False,False
2005-09-08,1010.1,30.3,27.9,26.4,25.3,86,81,  0.7,False,False
2005-09-09,1010.3,30.5,28.4,27.0,24.6,80,77,  0.0,False,False
2005-09-10,1008.3,30.5,28.2,26.8,23.6,77,69,0.02,False,False
2005-09-11,1006.3,31.3,28.7,26.4,23.8,75,56,0.02,False,False
2005-09-12,1009.2,31.0,29.1,27.5,25.2,80,63,0.02,False,False
2005-09-13,1012.7,30.6,28.7,26.9,26.3,87,79, 13.2,False,False
2005-09-14,1013.7,31.9,29.3,28.0,25.3,79,65,0.02,False,False
2005-09-15,1012.2,31.6,29.1,27.3,25.3,80,53,  1.7,False,False
2005-09-16,1010.5,31.8,29.5,28.3,24.8,76,45,0.02,False,False
2005-09-17,1010.9,30.9,27.8,25.4,24.5,83,79, 23.0,False,False
2005-09-18,1014.0,29.6,28.2,26.1,25.5,86,87,  3.8,False,False
2005-09-19,1015.3,30.9,28.8,27.8,25.7,84,59,0.02,False,False
2005-09-20,1011.9,30.8,28.8,26.0,24.7,79,64,  2.7,False,False
2005-09-21,1008.6,31.7,29.5,27.6,25.0,77,49,  0.0,False,False
2005-09-22,1005.7,34.3,31.0,28.9,24.3,68,63,  0.0,False,False
2005-09-23,1005.2,31.7,28.6,27.0,21.8,67,80,0.02,False,False
2005-09-24,1004.5,27.8,26.5,24.2,22.2,78,88, 10.6,False,False
2005-09-25,1005.7,27.4,25.8,23.5,24.0,90,94,130.2,False,False
2005-09-26,1010.0,26.8,25.9,24.8,24.5,92,92, 37.2,False,False
2005-09-27,1014.2,26.9,25.9,25.2,24.8,93,87, 30.6,False,False
2005-09-28,1014.3,29.0,27.0,25.5,24.1,85,65,  1.0,False,False
2005-09-29,1013.2,29.4,27.4,26.3,24.0,82,64,  0.0,False,False
2005-09-30,1013.0,30.1,27.6,26.1,24.2,82,47,  0.0,False,False
2005-10-01,1011.2,30.8,28.6,26.8,24.7,80,36,  0.0,False,False
2005-10-02,1006.9,32.4,29.0,24.9,24.7,78,54,  3.6,False,False
